NetworkID,Category,BodyStyle,Make,Model,State,Price,Badge,Name,Link,Images,KeyDetails
SSE-AD-15651178,private,Hatch,BMW,1 Series,VIC,15500,Below market price,,/cars/details/2013-bmw-1-series-118d-f20-auto/SSE-AD-15651178/?Cr=0&gts=SSE-AD-15651178&gtsSaleId=SSE-AD-15651178&gtsViewType=showcase&rankingType=showcase,"['https://carsales.pxcrush.net/carsales//cars/private/2o7vgk5hhxatqbo73ny0lcrxf.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480', 'https://carsales.pxcrush.net/carsales//cars/private/37odva25fzkom2rw3snqyyqk1.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480', 'https://carsales.pxcrush.net/carsales//cars/private/6g4jehyjg8aw9d3h0ivzktcpm.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480', 'https://carsales.pxcrush.net/carsales//cars/private/bfrv5eh9p7h6dgk75esdcuvom.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480', 'https://carsales.pxcrush.net/carsales//cars/private/dpbdzkmuxxn1fjyl2wojg0h90.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480']","{'Odometer': '112,418 km', 'Body Style': 'Hatch', 'Transmission': 'Automatic', 'Engine': '4cyl 2.0L Turbo Diesel'}"
SSE-AD-15574520,private,Hatch,BMW,1 Series,VIC,54799,Below market price,,/cars/details/2020-bmw-1-series-m135i-xdrive-f40-auto-4x4/SSE-AD-15574520/?Cr=10,"['https://carsales.pxcrush.net/carsales//cars/private/6ji9z980aoi4ssspe7muoyh88.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480', 'https://carsales.pxcrush.net/carsales//cars/private/87o4hzmith0qkxu315uyqshr3.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480', 'https://carsales.pxcrush.net/carsales//cars/private/b4747h8tjbwat6yt5i7yt6ga0.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480', 'https://carsales.pxcrush.net/carsales//cars/private/60jiqf26f54gq6b9z5c0foh59.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480', 'https://carsales.pxcrush.net/carsales//cars/private/adsxupm1ixfg21gocfn05s58m.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=720,480']","{'Odometer': '17,100 km', 'Body Style': 'Hatch', 'Transmission': 'Automatic', 'Engine': '4cyl 2.0L Turbo Petrol'}"
